domain,category
lossen-fotografie.de,Fotografie
neoception.com,Erbringung von Beratungsleistungen auf dem Gebiet der Informationstechnologie
dsb-erlabrunn.de,Allgemeine Gebäudereinigung
christmann-unternehmensgruppe.de,Managementtätigkeiten von Holdinggesellschaften
hoefs-ristau.de,Zahnarztpraxen
dersolarteur.de,Erbringung von sonstigen Dienstleistungen der Informationstechnologie
der-dienstleister.com,Allgemeine Gebäudereinigung
cine-plus.de,Nachbearbeitung und sonstige Filmtechnik
quality-smile.com,Zahnarztpraxen
boettcher-energie.de,Großhandel mit Mineralölerzeugnissen
federspiel.info,"Vermietung, Verpachtung von eigenen oder geleasten Grundstücken, Gebäuden und Wohnungen"
autoteam-dietzenbach.de,"Handel mit Kraftwagen mit einem Gesamtgewicht von mehr als 3,5 t"
famericon.de,Bau von Gebäuden (ohne Fertigteilbau)
klavierexpress.de,Spedition
klinikum-luenen.de,"Krankenhäuser (ohne Hochschulkliniken, Vorsorge- und Rehabilitationskliniken)"
hmn-wohnungsbau.de,Bauträger für Wohngebäude
fachklinik-enzensberg.de,Ambulante soziale Dienste
mpw-muenchen.de,Eisengießereien
sbs-kranservice.de,Reparatur von sonstigen Gebrauchsgütern
pueschel-gastro.de,Großhandel mit sonstigen Ausrüstungen und Zubehör für Maschinen sowie mit technischem Bedarf
cidpartners.de,Unternehmensberatung
carrera-engineering.eu,Ingenieurbüros für bautechnische Gesamtplanung
afp-berater.de,"Praxen von Steuerbevollmächtigten, Steuerberaterinnen und -beratern, Steuerberatungsgesellschaften"
eurapack-gmbh.de,Herstellung von sonstigen nicht wirtschaftszweigspezifischen Maschinen a. n. g.
spezial-team-gih.com,Garten- und Landschaftsbau
brillenbenkhoff.de,Augenoptiker
notthemainstream.de,Sonstige Softwareentwicklung
studiotatsache.de,Werbeagenturen
publity.de,"Vermietung, Verpachtung von eigenen oder geleasten Wohngrundstücken, Wohngebäuden und Wohnungen"
breitenkamp.de,Einzelhandel mit Antiquitäten und antiken Teppichen
juetro-tkk.de,"Großhandel mit Obst, Gemüse und Kartoffeln"
dachdeckerei-barz.com,Dachdeckerei und Bauspenglerei
haller-gartentreff.de,"Einzelhandel mit Blumen, Pflanzen, Sämereien und Düngemitteln"
m-r-n.com,Sonstige selbstständige Tätigkeiten im Gesundheitswesen
neher.de,Herstellung von konfektionierten Textilwaren (ohne Bekleidung)
ems-motors.de,Elektroinstallation
baumeister-inneneinrichtungen.de,Bautischlerei und -schlosserei
sinit.com,Herstellung von sonstigen Kunststoffwaren
mbr-sha.de,Erbringung von landwirtschaftlichen Dienstleistungen für den Pflanzenbau
krampe.de,Sonstige Verwaltung und Führung von Unternehmen und Betrieben
amserv.de,Reparatur von elektrischen Ausrüstungen
mittelbayerische.de,Verlegen von Zeitschriften
spaleck.de,Sonstige Verwaltung und Führung von Unternehmen und Betrieben
wm-elektronik.de,"Großhandel mit Datenverarbeitungsgeräten, peripheren Geräten und Software"
krohmer-gmbh.de,Mechanik a. n. g.
artronaut.online,Bautischlerei und -schlosserei
wismar-pellets.de,Sonstige Verwaltung und Führung von Unternehmen und Betrieben
spezialtransporte-magdeburg.de,Güterbeförderung im Straßenverkehr
shk-fahrzeugtechnik.de,"Instandhaltung und Reparatur von Kraftwagen mit einem Gesamtgewicht von 3,5 t oder weniger (ohne Lackierung und Autowäsche)"
schaenke.de,Herstellung von Bier
oktat-doener.de,Einzelhandel mit Fleisch und Fleischwaren
jaeger-frese.de,Herstellung von Schrauben und Nieten
kernbohrtechnik-buksmann.de,Baugewerbe a. n. g.
getraenke-brehm.de,Einzelhandel mit Getränken
ptec.eu,"Herstellung von elektrischen Mess-, Kontroll-, Navigations- u. ä. Instrumenten und Vorrichtungen"
plus-pc.de,Erbringung von Beratungsleistungen auf dem Gebiet der Informationstechnologie
mediagruppe-nord.de,Werbeagenturen
odin-ag.de,"Kauf und Verkauf von eigenen Wohngrundstücken, Wohngebäuden und Wohnungen"
borgware.de,Erbringung von Beratungsleistungen auf dem Gebiet der Informationstechnologie
terodde.de,Mechanik a. n. g.
zimmerei-bremehr.de,Zimmerei und Ingenieurholzbau
hpp.com,Architekturbüros für Hochbau
kmcomputer.de,"Einzelhandel mit Datenverarbeitungsgeräten, peripheren Geräten und Software"
vonovia.de,"Vermietung, Verpachtung von eigenen oder geleasten Wohngrundstücken, Wohngebäuden und Wohnungen"
gtaenergy.com,Herstellung von Dampfkesseln (ohne Zentralheizungskessel)
swords-and-more.de,Sonstiger Einzelhandel a. n. g. (in Verkaufsräumen)
ihr-fensterpartner.de,Bautischlerei und -schlosserei
maha.de,Managementtätigkeiten von Holdinggesellschaften
trvlcounter.de,Reisebüros
wiedemann-enviro-tec.de,Sonstige Verwaltung und Führung von Unternehmen und Betrieben
whoohoo.com,Vermittlung von Arbeitskräften
leistenwerk.de,"Herstellung von Holzwaren a. n. g., Kork-, Flecht- und Korbwaren (ohne Möbel)"
ebla.eu,Herstellung von sonstigen Kunststoffwaren
bits-on-the.net,Erbringung von Beratungsleistungen auf dem Gebiet der Informationstechnologie
master-fassaden-geruest.de,Gerüstbau
akabus.de,Bauträger für Wohngebäude
dashandwerk.de,Zimmerei und Ingenieurholzbau
sellcon-polymers.com,Herstellung von Kunststoffen in Primärformen
krankenhaus-land-hadeln.de,"Krankenhäuser (ohne Hochschulkliniken, Vorsorge- und Rehabilitationskliniken)"
info-analfistel.de,Sonstige selbstständige Tätigkeiten im Gesundheitswesen
singularitech.net,Herstellung von sonstigen Erzeugnissen a. n. g.
finanzbuero.de,Tätigkeit von Versicherungsmaklerinnen und -maklern
yamaichi.de,Herstellung von sonstigen elektronischen Bauelementen
team4building.de,Ingenieurbüros für technische Fachplanung und Ingenieurdesign
solid-line.com,Herstellung von sonstigen Kunststoffwaren
speisekarten.com,Restaurants mit herkömmlicher Bedienung
leiber.com,Herstellung von sonstigen Teilen und sonstigem Zubehör für Kraftwagen
jochheim-spedition.de,Spedition
gefahrgut-hiltmann.de,Unternehmensberatung
mueritz-seeromantik.de,Campingplätze
himmler-bauzentrum.de,Großhandel mit Baustoffen und Bauelementen aus mineralischen Stoffen
fxsteber.de,Sonstige Verwaltung und Führung von Unternehmen und Betrieben
saegewerk-schroepfer.de,"Säge-, Hobel- und Holzimprägnierwerke"
t-mueller-baggerbetrieb.de,Vorbereitende Baustellenarbeiten
hoffmeier.de,Herstellung von Maschinen für sonstige bestimmte Wirtschaftszweige a. n. g.
kessels.de,Reparatur von Maschinen
covivio.immo,Verwaltung von Gewerbegrundstücken und Nichtwohngebäuden für Dritte
smt-wertheim.de,"Herstellung von kälte- und lufttechnischen Erzeugnissen, nicht für den Haushalt"
b-r-p.de,"Praxen von Steuerbevollmächtigten, Steuerberaterinnen und -beratern, Steuerberatungsgesellschaften"
mge-gmbh.de,Herstellung von Metallwaren a. n. g.
streit-tga.de,Ingenieurbüros für technische Fachplanung und Ingenieurdesign
pianosalon.de,Einzelhandel mit Musikinstrumenten und Musikalien
expert-personal.de,Vermittlung von Arbeitskräften
jump-sale.de,Garten- und Landschaftsbau
asienpazifik.de,Unternehmensberatung
egerner-hoefe.de,Hotels (ohne Hotels garnis)
schlemmer-drehteile.de,Großhandel mit Werkzeugen und Kleineisenwaren
hw-steuer.de,"Praxen von Steuerbevollmächtigten, Steuerberaterinnen und -beratern, Steuerberatungsgesellschaften"
helwig-transporte.de,Güterbeförderung im Straßenverkehr
mediprom.de,Großhandel mit pharmazeutischen Erzeugnissen
abz-koeln.de,Berufsbildende weiterführende Schulen
roehlich-gmbh.de,Spedition
awo-mulde-collm.de,Sonstige selbstständige Tätigkeiten im Gesundheitswesen
reichlmeier.net,"Gas-, Wasser-, Heizungs- sowie Lüftungs- und Klimainstallation"
mb-bardowick.de,Herstellung von Maschinen für sonstige bestimmte Wirtschaftszweige a. n. g.
soflinxconsult.de,Erbringung von Beratungsleistungen auf dem Gebiet der Informationstechnologie
reifenscho.de,Einzelhandel mit Kraftwagenteilen und -zubehör
gcs-network.de,Erbringung von sonstigen Dienstleistungen der Informationstechnologie
hws.de,"Praxen von Steuerbevollmächtigten, Steuerberaterinnen und -beratern, Steuerberatungsgesellschaften"
orc.de,"Handel mit Kraftwagen mit einem Gesamtgewicht von 3,5 t oder weniger"
krischer-stahlformenbau.de,Herstellung von sonstigen Werkzeugen
reenergy-guester.de,"Großhandel mit Möbeln, Teppichen, Lampen und Leuchten"
ddd.de,Entwicklung und Programmierung von Internetpräsentationen
linus-store.com,Einzelhandel mit Bekleidung
platzmann.de,Oberflächenveredlung und Wärmebehandlung
eckstein-tragetaschen.de,Drucken a. n. g.
nanofaktur.net,"Herstellung von nicht elektrischen Mess-, Kontroll-, Navigations- u. ä. Instrumenten und Vorrichtungen"
its-sha.de,Sonstige Softwareentwicklung
sitex.de,Güterbeförderung im Straßenverkehr
pdmm.de,Unternehmensberatung
vetter-und-fecht.de,Erbringung von Beratungsleistungen auf dem Gebiet der Informationstechnologie
aab-as.de,Sonstige mit Finanzdienstleistungen verbundene Tätigkeiten
sackundpack.de,Einzelhandel mit Sport- und Campingartikeln (ohne Campingmöbel)
interwei.de,Baugewerbe a. n. g.
plan-eta.de,Herstellung von Metallkonstruktionen
kreisbau-kuen.de,"Vermietung, Verpachtung von eigenen oder geleasten Wohngrundstücken, Wohngebäuden und Wohnungen"
joehle.de,Herstellung von sonstigen Kunststoffwaren
packservice.com,"Herstellung von Wellpapier und -pappe sowie von Verpackungsmitteln aus Papier, Karton und Pappe"
zweixh.de,Werbeagenturen
sollido.de,Großhandel mit landwirtschaftlichen Maschinen und Geräten
centro-hotels.de,Hotels (ohne Hotels garnis)
inditec.de,"Messe-, Ausstellungs- und Kongressveranstalter"
ducherow-agrar.de,Gemischte Landwirtschaft
autogrammstunden.info,Unternehmensberatung
kocarek-gmbh.com,Übersetzen
autogalerie-rehlingen.de,"Handel mit Kraftwagen mit einem Gesamtgewicht von 3,5 t oder weniger"
wallcon-rae.de,Rechtsanwaltskanzleien ohne Notariat
zimmerei-schwarz.de,Zimmerei und Ingenieurholzbau
pv-sonne.de,Elektroinstallation
stfholterman.de,"Herstellung von Erzeugnissen aus Beton, Zement und Kalksandstein für den Bau"
schreiber-transport.gmbh,Sammlung nicht gefährlicher Abfälle
baecker-mueller.de,Sonstige Verwaltung und Führung von Unternehmen und Betrieben
die-moeglichmacher.com,Allgemeine Gebäudereinigung
delta-moebel.de,Spedition
artus-gruppe.com,Tätigkeit von Versicherungsmaklerinnen und -maklern
quaterra.immobilien,"Kauf und Verkauf von eigenen Wohngrundstücken, Wohngebäuden und Wohnungen"
leiendecker-hbt.de,"Großhandel mit Bergwerks-, Bau- und Baustoffmaschinen"
wagner-hydraulik.com,Großhandel mit sonstigen Maschinen
festsaal-kreuzberg.de,Erbringung von anderen wirtschaftlichen Dienstleistungen für Unternehmen und Privatpersonen a. n. g.
winkelundkoch.de,Maler- und Lackierergewerbe
made-for-science.com,Sonstige Softwareentwicklung
mm-immohyp-gmbh.de,"Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte"
intra-sys.de,Erbringung von Beratungsleistungen auf dem Gebiet der Informationstechnologie
carnot-vertrieb.de,Großhandel mit Nahrungs- und Genussmitteln a. n. g.
ibm-tga.de,Ingenieurbüros für technische Fachplanung und Ingenieurdesign
locon.de,Vermietung von Baumaschinen und -geräten
ramboll.com,Ingenieurbüros für bautechnische Gesamtplanung
hofmannprojekt.de,Architekturbüros für Hochbau
uwe-warnecke.de,"Gas-, Wasser-, Heizungs- sowie Lüftungs- und Klimainstallation"
cksa.de,Architekturbüros für Garten- und Landschaftsgestaltung
aytech.de,"Einzelhandel mit Datenverarbeitungsgeräten, peripheren Geräten und Software"
bofferding.de,Herstellung von sonstigen elektrischen Ausrüstungen und Geräten a. n. g.
hbs-container.de,Rückgewinnung sortierter Werkstoffe
westfalia-trailer.at,Sonstige Softwareentwicklung
ibkrone.de,Sonstige Ingenieurbüros
generalcapital.de,Unternehmensberatung
flinc.org,Unternehmensberatung
airmat.com,"Großhandel mit Eisenerzen, Eisen, Stahl, Eisen- und Stahlhalbzeug"
gladis-schwimmbad.de,Bau von Gebäuden (ohne Fertigteilbau)
belz-treppenbau.de,Sonstige Verwaltung und Führung von Unternehmen und Betrieben
wohlenberg-werkzeugmaschinen.de,Beteiligungsgesellschaften
ostseebau-nord.de,Vorbereitende Baustellenarbeiten
gft-boenen.de,Oberflächenveredlung und Wärmebehandlung
m-cab.de,"Großhandel mit Datenverarbeitungsgeräten, peripheren Geräten und Software"
ppe.de,Vermittlung von Arbeitskräften
3bi-gruppe.de,"Fußboden-, Fliesen- und Plattenlegerei, Tapeziererei"
vertriebskick.de,"Großhandel mit Lederwaren, Reisegepäck, Geschenk- und Werbeartikeln"
kardialgut.de,"Großhandel mit medizinischen und orthopädischen Artikeln, Dental- und Laborbedarf"
dvs-group.com,Abfüllen und Verpacken
jw-i.de,"Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte"
rsw-armaturen.de,Herstellung von Armaturen a. n. g.
angst-getraenke.de,Großhandel mit Getränken
laserkanttechnik.de,"Herstellung von Press-, Zieh- und Stanzteilen"
precimeter.com,Herstellung von sonstigen elektronischen Bauelementen
corte.de,Sonstige Verwaltung und Führung von Unternehmen und Betrieben
stocksfloor-vs.de,Verwaltung von Gewerbegrundstücken und Nichtwohngebäuden für Dritte
lauscherlounge.de,Erbringung von anderen wirtschaftlichen Dienstleistungen für Unternehmen und Privatpersonen a. n. g.
wibatec.de,"Gas-, Wasser-, Heizungs- sowie Lüftungs- und Klimainstallation"
wust-gastro.de,Großhandel mit sonstigen Maschinen
hamburgwork.org,Pflegeheime
lixxil.de,Tätigkeit von Versicherungsmaklerinnen und -maklern
vfs-personalberatung.de,Vermittlung von Arbeitskräften
schwarz-transporte.de,Güterbeförderung im Straßenverkehr
fuerstadvisory.com,Unternehmensberatung
kundner-kartonagen.de,"Herstellung von Wellpapier und -pappe sowie von Verpackungsmitteln aus Papier, Karton und Pappe"
